# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
2I	TPP	PCL		0	146
2J	ABJ	BOY		0	CRJ
2J	ABJ	OUA		0	E70 CRJ M87
2J	ACC	OUA		0	CRJ
2J	BKO	ABJ		0	M87
2J	BKO	DKR		0	M87
2J	BKO	OUA		0	CRJ
2J	BOY	ABJ		0	CRJ
2J	BOY	OUA		0	CRJ
2J	COO	LFW		0	M87
2J	COO	OUA		0	M87
2J	DKR	BKO		0	M87
2J	DKR	OUA		0	M87
2J	LFW	OUA		0	M87 CRJ
2J	NIM	OUA		0	CRJ
2J	OUA	ABJ		0	E70 CRJ M87
2J	OUA	ACC		0	CRJ
2J	OUA	BKO		0	M87 CRJ
2J	OUA	BOY		0	CRJ
2J	OUA	COO		0	M87
2J	OUA	DKR		0	M87
2J	OUA	LFW		0	CRJ
2J	OUA	NIM		0	CRJ
2K	BOG	GYE		0	319
2K	BOG	UIO		0	319 320
2K	CLO	GYE		0	319
2K	GYE	BOG		0	319
2K	GYE	CLO		0	319
2K	GYE	SCY		0	319 320
2K	GYE	UIO		0	320 319
2K	OCC	UIO		0	319
2K	SCY	GYE		0	319 320
2K	UIO	BOG		0	319 320
2K	UIO	GYE		0	319
2K	UIO	OCC		0	319
2L	BDS	ZRH		0	100
2L	BOD	ZRH		0	100
2L	BRS	ZRH		0	100
2L	GVA	LPA		0	319
2L	LCA	ZRH		0	319
2L	LPA	ZRH		0	319
2L	RMF	ZRH		0	319
2L	TFS	GVA		0	319
2L	ZRH	BDS		0	100
2L	ZRH	BOD		0	100
2L	ZRH	BRS		0	100
2L	ZRH	LCA		0	319
2L	ZRH	LPA		0	319
2L	ZRH	RMF		0	319
2N	AJR	LYC		0	ATP
2N	ARN	GEV		0	ATP
2N	ARN	HAD		0	SF3
2N	ARN	JKG		0	ATP SF3
2N	ARN	KRF		0	ATP
2N	ARN	KSD		0	SF3
2N	ARN	LYC		0	ATP
2N	ARN	MHQ		0	SF3
2N	ARN	OER		0	ATR
2N	ARN	POR		0	SF3
2N	ARN	TRF		0	SF3
2N	ARN	VBY		0	SF3 ATP
2N	ARN	VHM		0	SF3
2N	ARN	VXO		0	SF3
2N	GEV	ARN		0	ATP
2N	GEV	KRF		0	ATP
2N	HAD	ARN		0	SF3 ATP
2N	HAD	JKG		0	ATP SF3
2N	HAD	VXO		0	SF3
2N	HMV	VHM		0	SF3
2N	JKG	ARN		0	ATP SF3
2N	JKG	HAD		0	ATP SF3
2N	KOK	POR		0	SF3
2N	KRF	ARN		0	ATP
2N	KRF	GEV		0	ATP
2N	KSD	ARN		0	SF3
2N	LYC	AJR		0	ATP
2N	LYC	ARN		0	ATP
2N	MHQ	ARN		0	SF3
2N	MHQ	TKU		0	SF3
2N	OER	ARN		0	ATR
2N	OSL	VXO		0	SF3
2N	POR	ARN		0	SF3
2N	POR	KOK		0	SF3
2N	TKU	MHQ		0	SF3
2N	TRF	ARN		0	SF3
2N	VBY	ARN		0	SF3 ATP
2N	VHM	ARN		0	SF3
2N	VHM	HMV		0	SF3
2N	VXO	ARN		0	SF3
2N	VXO	OSL		0	SF3
2O	ADQ	AOS		0	BNI
2O	ADQ	KKB		0	BNI
2O	ADQ	KLN		0	BNI
2O	ADQ	KOZ		0	BNI
2O	ADQ	OLH		0	BNI
2O	AOS	KZB		0	BNI
2O	KKB	SYB		0	BNI
2O	KLN	KYK		0	BNI
2O	KOZ	ORI		0	BNI
2O	SYB	KPR		0	BNI
2P	BSO	MNL		0	DH4
2P	BXU	MNL		0	320
2P	CBO	MNL		0	320
2P	CGY	MNL		0	320
2P	CRM	MNL		0	DH4
2P	DGT	MNL		0	320
2P	DWC	MNL		0	330
2P	GES	MNL	*	0	320
2P	KLO	MNL		0	320
2P	KLO	MNL	*	0	320
2P	LGP	MNL		0	320
2P	MNL	BSO		0	DH4
2P	MNL	BXU		0	320
2P	MNL	CBO		0	320
2P	MNL	CGY		0	320
2P	MNL	CRM		0	DH4
2P	MNL	DGT		0	320
2P	MNL	DWC		0	330
2P	MNL	GES	*	0	320
2P	MNL	KLO		0	320
2P	MNL	KLO	*	0	320
2P	MNL	LGP		0	320
2P	MNL	MPH		0	DH3
2P	MNL	OZC		0	320
2P	MNL	PPS		0	320
2P	MNL	RXS		0	320
2P	MNL	SUG		0	DH4
2P	MNL	TUG		0	DH4
2P	MNL	ZAM		0	320
2P	MPH	MNL		0	DH3
2P	OZC	MNL		0	320
2P	PPS	MNL		0	320
2P	RXS	MNL		0	320
2P	SUG	MNL		0	DH4
2P	TUG	MNL		0	DH4
2P	ZAM	MNL		0	320
2Z	AUX	PMW		0	AT7
2Z	BRA	BSB		0	AT7
2Z	BRA	SSA		0	AT7
2Z	BSB	BRA		0	AT7
2Z	BSB	OPS		0	AT7
2Z	BSB	RAO		0	AT7
2Z	CAC	GRU		0	AT7
2Z	CGB	GYN		0	AT7
2Z	CGB	OPS		0	AT7
2Z	CGR	DOU		0	AT7
2Z	DOU	CGR		0	AT7
2Z	DOU	GRU		0	AT7
2Z	GIG	RAO		0	AT7
2Z	GRU	CAC		0	AT7
2Z	GRU	DOU		0	AT7
2Z	GRU	RAO		0	AT7
2Z	GRU	UBA		0	AT7
2Z	GRU	UDI		0	AT7
2Z	GRU	VDC		0	AT7
2Z	GYN	CGB		0	AT7
2Z	GYN	PMW		0	AT7
2Z	GYN	RAO		0	AT7
2Z	GYN	UDI		0	AT7
2Z	OPS	BSB		0	AT7
2Z	OPS	CGB		0	AT7
2Z	PLU	RAO		0	AT7
2Z	PMW	AUX		0	AT7
2Z	PMW	GYN		0	AT7
2Z	RAO	BSB		0	AT7
2Z	RAO	GIG		0	AT7
2Z	RAO	GRU		0	AT7
2Z	RAO	GYN		0	AT7
2Z	RAO	PLU		0	AT7
2Z	RAO	SJP		0	AT7
2Z	RAO	UDI		0	AT7
2Z	SJP	RAO		0	AT7
2Z	SSA	BRA		0	AT7
2Z	SSA	VDC		0	AT7
2Z	UBA	GRU		0	AT7
2Z	UBA	UDI		0	AT7
2Z	UDI	GRU		0	AT7
2Z	UDI	GYN		0	AT7
2Z	UDI	RAO		0	AT7
2Z	UDI	UBA		0	AT7
2Z	VDC	GRU		0	AT7
2Z	VDC	SSA		0	AT7
3E	BRL	ORD		0	CNC
3E	BRL	STL		0	CNC
3E	DEC	ORD		0	CNC
3E	DEC	STL		0	CNC
3E	JBR	STL		0	CNC
3E	ORD	BRL		0	CNC
3E	ORD	DEC		0	CNC
3E	STL	BRL		0	CNC
3E	STL	DEC		0	CNC
3E	STL	JBR		0	CNC
3F	CGA	HYL		0	DHP
3F	CGA	KTN		0	DHP
3F	HYL	CGA		0	DHP
3F	HYL	KTB		0	DHP
3F	HYL	KTN		0	DHP
3F	KTB	HYL		0	DHP
3F	KTB	KTN		0	DHP
3F	KTN	CGA		0	DHP
3F	KTN	HYL		0	DHP
3F	KTN	KTB		0	DHP
3F	KTN	MTM		0	DHP
3F	MTM	KTN		0	DHP
3G	ACC	DKR		0	319
3G	ACC	LOS		0	319
3G	ACC	ROB		0	319
3G	BCN	BJL		0	319
3G	BJL	BCN		0	319
3G	BJL	DKR		0	319
3G	BJL	FNA		0	319
3G	CKY	OXB		0	319
3G	DKR	ACC		0	319
3G	DKR	BJL		0	319
3G	DKR	DLA		0	319
3G	DKR	FNA		0	319
3G	DKR	LOS		0	319
3G	DKR	OXB		0	319
3G	DLA	DKR		0	319
3G	DLA	LOS		0	319
3G	FNA	BJL		0	319
3G	FNA	DKR		0	319
3G	FNA	LGW		0	319
3G	FNA	ROB		0	319
3G	LGW	FNA		0	319
3G	LOS	ACC		0	319
3G	LOS	DKR		0	319
3G	LOS	DLA		0	319
3G	LOS	ROB		0	319
3G	OXB	CKY		0	319
3G	OXB	DKR		0	319
3G	ROB	ACC		0	319
3G	ROB	FNA		0	319
3G	ROB	LOS		0	319
3H	AKV	YIK		0	DH8
3H	AKV	YPX		0	DH8
3H	XGR	YVP		0	DHT BET
3H	YGL	YGW		0	DHT
3H	YGL	YPX		0	73M
3H	YGL	YUL		0	73M
3H	YGW	YGL		0	DHT
3H	YGW	YPH		0	BET
3H	YGW	YSK		0	DH8
3H	YGW	YUD		0	DH8
3H	YGW	YUL		0	DH8
3H	YGW	YUY		0	DH8
3H	YIK	AKV		0	DH8
3H	YIK	YZG		0	DH8
3H	YKG	YPJ		0	DHT DH8
3H	YKG	YQC		0	DH8
3H	YKG	YVP		0	DH8 DHT
3H	YKL	YQB		0	DH8
3H	YKL	YVP		0	DH8 BET
3H	YKL	YWK		0	BET
3H	YKL	YZV		0	BET DH8
3H	YPH	YPX		0	DH8 BET
3H	YPH	YUD		0	DH8
3H	YPH	YVP		0	BET
3H	YPJ	YKG		0	DHT DH8
3H	YPJ	YTQ		0	DHT DH8
3H	YPJ	YVP		0	DHT
3H	YPX	AKV		0	DH8
3H	YPX	YGL		0	73M
3H	YPX	YPH		0	DH8
3H	YPX	YVP		0	BET
3H	YQB	YKL		0	DH8
3H	YQB	YUL		0	DH8
3H	YQC	YKG		0	DH8
3H	YQC	YWB		0	DH8
3H	YSK	YGW		0	DH8
3H	YSK	YUD		0	DH8
3H	YTQ	YPJ		0	DHT DH8
3H	YTQ	YVP		0	DHT DH8
3H	YUD	YGW		0	DH8
3H	YUD	YPH		0	DH8
3H	YUD	YSK		0	DH8
3H	YUL	YGL		0	73M
3H	YUL	YGW		0	DH8
3H	YUL	YQB		0	DH8
3H	YUL	YUY		0	DH8
3H	YUY	YGW		0	DH8
3H	YUY	YUL		0	DH8
3H	YVP	XGR		0	DHT BET
3H	YVP	YGW		0	BET
3H	YVP	YKG		0	DH8
3H	YVP	YKL		0	DH8 BET
3H	YVP	YPH		0	BET
3H	YVP	YPJ		0	DHT
3H	YVP	YPX		0	BET
3H	YVP	YTQ		0	DHT DH8
3H	YWB	YQC		0	DH8
3H	YWB	YZG		0	DH8
3H	YWK	YKL		0	BET
3H	YWK	YZV		0	BET
3H	YZG	YIK		0	DH8
3H	YZG	YWB		0	DH8
3H	YZV	YKL		0	BET DH8
3H	YZV	YWK		0	BET
3J	JIB	DXB		0	737
3J	JIB	JED		0	737
3J	JIB	MGQ		0	737
3J	MGQ	NBO		0	737
3J	NBO	MGQ		0	737
3K	BKK	SIN		0	320
3K	DRW	SIN		0	320
3K	HAK	SIN		0	320
3K	HGH	SIN		0	320
3K	HKG	SIN		0	320
3K	HKT	SIN		0	320
3K	KIX	MNL		0	320
3K	KIX	TPE		0	320
3K	KUL	SIN		0	320
3K	MNL	KIX		0	320
3K	MNL	SIN		0	320
3K	PEN	SIN		0	320
3K	PER	SIN		0	320
3K	PNH	SIN		0	320
3K	REP	SIN		0	320
3K	RGN	SIN		0	320
3K	SGN	SIN		0	320
3K	SIN	BKK		0	320
3K	SIN	DRW		0	320
3K	SIN	HAK		0	320
3K	SIN	HGH		0	320
3K	SIN	HKG		0	320
3K	SIN	HKT		0	320
3K	SIN	KUL		0	320
3K	SIN	MNL		0	320
3K	SIN	PEN		0	320
3K	SIN	PER		0	320
3K	SIN	PNH		0	320
3K	SIN	REP		0	320
3K	SIN	RGN		0	320
3K	SIN	SGN		0	320
3K	SIN	SWA		0	320
3K	SIN	TPE		0	320
3K	SWA	SIN		0	320
3K	TPE	KIX		0	320
3K	TPE	SIN		0	320
3L	ACH	EBA		0	DH3
3L	DRS	ZRH		0	DH3
3L	DUS	FDH		0	DH3
3L	EBA	ACH		0	DH3
3L	EBA	FDH		0	DH3
3L	EBA	MUC		0	DH3
3L	EBA	ZRH		0	DH3
3L	FDH	DUS		0	DH3
3L	FDH	EBA		0	DH3
3L	FDH	HAM		0	AT7
3L	FDH	OLB		0	AT7
3L	FDH	TXL		0	AT7
3L	FDH	ZAD		0	AT7
3L	FMM	NAP		0	AT7
3L	GRZ	ZRH		0	DH3
3L	HAM	FDH		0	AT7
3L	MUC	EBA		0	DH3
3L	NAP	FMM		0	AT7
3L	OLB	FDH		0	AT7
3L	SZG	ZRH		0	DH3
3L	TXL	FDH		0	AT7
3L	ZAD	FDH		0	AT7
3L	ZRH	DRS		0	DH3
3L	ZRH	EBA		0	DH3
3L	ZRH	GRZ		0	DH3
3L	ZRH	SZG		0	DH3
3M	ATL	LWB		0	SF3
3M	ATL	MCN		0	SF3
3M	ATL	MEI		0	SF3
3M	ATL	MSL		0	SF3
3M	ATL	PIB		0	SF3
3M	ATL	TUP		0	SF3
3M	BIM	FLL		0	SF3
3M	ELH	FLL		0	SF3
3M	ELH	PBI		0	SF3
3M	EYW	FLL		0	SF3
3M	EYW	RSW		0	SF3
3M	EYW	TPA		0	SF3
3M	FLL	BIM		0	SF3
3M	FLL	ELH		0	SF3
3M	FLL	EYW		0	SF3
3M	FLL	FPO		0	SF3
3M	FLL	GGT		0	SF3
3M	FLL	GHB		0	SF3
3M	FLL	MCO		0	SF3
3M	FLL	MHH		0	SF3
3M	FLL	TCB		0	SF3
3M	FLL	TPA		0	SF3
3M	FPO	FLL		0	SF3
3M	GGT	FLL		0	SF3
3M	GGT	GHB		0	SF3
3M	GHB	FLL		0	SF3
3M	GLH	TUP		0	SF3
3M	GNV	MCO		0	SF3
3M	GNV	TPA		0	SF3
3M	JAX	MHH		0	SF3
3M	JAX	TPA		0	SF3
3M	LWB	ATL		0	SF3
3M	MCN	ATL		0	SF3
3M	MCN	MCO		0	SF3
3M	MCO	FLL		0	SF3
3M	MCO	GNV		0	SF3
3M	MCO	MCN		0	SF3
3M	MCO	MHH		0	SF3
3M	MCO	PNS		0	SF3
3M	MCO	RSW		0	SF3
3M	MCO	TLH		0	SF3
3M	MEI	ATL		0	SF3
3M	MHH	FLL		0	SF3
3M	MHH	JAX		0	SF3
3M	MHH	MCO		0	SF3
3M	MHH	PBI		0	SF3
3M	MSL	ATL		0	SF3
3M	PBI	ELH		0	SF3
3M	PBI	MHH		0	SF3
3M	PBI	TPA		0	SF3
3M	PIB	ATL		0	SF3 
3M	PNS	MCO		0	SF3
3M	PNS	TPA		0	SF3
3M	RSW	EYW		0	SF3
3M	RSW	MCO		0	SF3
3M	TCB	FLL		0	SF3
3M	TLH	MCO		0	SF3
3M	TLH	TPA		0	SF3
3M	TPA	EYW		0	SF3
3M	TPA	FLL		0	SF3
3M	TPA	GNV		0	SF3
3M	TPA	JAX		0	SF3
3M	TPA	PBI		0	SF3
3M	TPA	PNS		0	SF3
3M	TPA	TLH		0	SF3
3M	TUP	ATL		0	SF3 
3M	TUP	GLH		0	SF3
3O	AMS	NDR		0	320
3O	AMS	TNG		0	320
3O	BCN	CMN		0	320
3O	BCN	NDR		0	320
3O	BCN	TNG		0	320
3O	BGY	CMN		0	320
3O	BLQ	CMN		0	320
3O	BRU	CMN		0	320
3O	BRU	NDR		0	320
3O	BRU	TNG		0	320
3O	CGN	NDR		0	320
3O	CMN	BCN		0	320
3O	CMN	BGY		0	320
3O	CMN	BLQ		0	320
3O	CMN	BRU		0	320
3O	CMN	CUF		0	320
3O	CMN	LGW		0	320
3O	CMN	LYS		0	320
3O	CMN	MPL		0	320
3O	CMN	SAW		0	320
3O	CMN	TLS		0	320
3O	CMN	TSF		0	320
3O	CUF	CMN		0	320
3O	FEZ	MPL		0	320
3O	LGW	CMN		0	320
3O	LGW	TNG		0	320
3O	LYS	CMN		0	320
3O	MPL	CMN		0	320
3O	MPL	FEZ		0	320
3O	MPL	NDR		0	320
3O	NDR	AMS		0	320
3O	NDR	BCN		0	320
3O	NDR	BRU		0	320
3O	NDR	CGN		0	320
3O	NDR	MPL		0	320
3O	NDR	PMI		0	320
3O	PMI	NDR		0	320
3O	SAW	CMN		0	320
3O	TLS	CMN		0	320
3O	TNG	AMS		0	320
3O	TNG	BCN		0	320
3O	TNG	BRU		0	320
3O	TNG	LGW		0	320
3O	TSF	CMN		0	320
3P	AUA	LSP		0	SH6
3P	AUA	MAR		0	SH6
3P	BON	CUR		0	SH6
3P	CUR	AUA		0	SH6
3P	LSP	AUA		0	SH6
3P	MAR	AUA		0	SH6
3R	ASF	DME		0	SU9
3R	ASF	LED		0	SU9
3R	BHK	DME		0	734
3R	DME	ASF		0	SU9
3R	DME	BHK		0	734
3R	DME	EGO		0	SU9
3R	DME	FEG		0	734
3R	DME	KSQ		0	734
3R	DME	NMA		0	734
3R	DME	NVI		0	734
3R	DME	SKD		0	734
3R	DME	TIV		0	SU9 73G
3R	EGO	DME		0	SU9
3R	FEG	DME		0	734
3R	KSQ	DME		0	734
3R	LED	ASF		0	SU9
3R	NMA	DME		0	734
3R	NVI	DME		0	734
3R	SKD	DME		0	734
3R	TIV	DME		0	SU9 73G
3S	ANU	PTP		0	AT5
3S	CAY	FDF		0	320
3S	CUR	SDQ		0	AT5
3S	DOM	PTP		0	AT5
3S	DOM	SXM		0	AT5
3S	FDF	CAY		0	320
3S	FDF	PTP		0	AT5 320
3S	FDF	SDQ		0	AT5
3S	FDF	SLU		0	AT5
3S	PTP	ANU		0	AT5
3S	PTP	DOM		0	AT5
3S	PTP	FDF		0	AT5 320
3S	PTP	SBH		0	DHT
3S	PTP	SDQ		0	AT5
3S	PTP	SFG		0	AT5
3S	PTP	SXM		0	AT5
3S	SBH	PTP		0	DHT
3S	SDQ	PTP		0	AT5
3S	SDQ	SXM		0	AT5
3S	SFG	PTP		0	AT5
3S	SLU	FDF		0	AT5
3S	SXM	DOM		0	AT5
3S	SXM	PTP		0	AT5
3S	SXM	SDQ		0	AT5
3U	BHY	XIY		0	321
3U	CAN	CKG		0	321 320
3U	CAN	CTU		0	321 320 330
3U	CAN	SPN		0	330
3U	CGO	CGQ		0	321
3U	CGO	CKG		0	321
3U	CGO	CTU		0	321
3U	CGO	HGH		0	320
3U	CGO	HRB		0	320
3U	CGO	KMG		0	320
3U	CGO	URC		0	320
3U	CGQ	CGO		0	321
3U	CGQ	NKG		0	320
3U	CGQ	TNA		0	321
3U	CGQ	TSN		0	320 319
3U	CKG	CAN		0	321 320
3U	CKG	CGO		0	321
3U	CKG	CSX		0	319 321
3U	CKG	CTU		0	330
3U	CKG	CZX		0	320
3U	CKG	DLC		0	320
3U	CKG	DYG		0	320
3U	CKG	HAK		0	319
3U	CKG	HGH		0	320 319
3U	CKG	HKT		0	321
3U	CKG	INC		0	321
3U	CKG	KHN		0	319
3U	CKG	KMG		0	319 320
3U	CKG	LHW		0	319 321
3U	CKG	LJG		0	319
3U	CKG	LXA		0	319
3U	CKG	NGB		0	319
3U	CKG	NKG		0	319
3U	CKG	NNG		0	319
3U	CKG	PEK		0	321 319 320
3U	CKG	PVG		0	320 319
3U	CKG	PZI		0	319
3U	CKG	SWA		0	319
3U	CKG	SYD		0	330
3U	CKG	SYX		0	320
3U	CKG	SZX		0	320
3U	CKG	TNA		0	321
3U	CKG	TSA		0	320
3U	CKG	TSN		0	319
3U	CKG	TYN		0	321
3U	CKG	URC		0	320
3U	CKG	WUH		0	319
3U	CKG	WUX		0	319
3U	CKG	XIY		0	319
3U	CKG	XNN		0	320
3U	CKG	YIH		0	319
3U	CKG	ZHA		0	319
3U	CSX	CKG		0	319 321
3U	CSX	CTU		0	320
3U	CSX	FOC		0	320
3U	CSX	KMG		0	320
3U	CSX	SHE		0	320
3U	CSX	WNZ		0	319
3U	CSX	XMN		0	321
3U	CTU	CAN		0	321 320 330
3U	CTU	CGO		0	321
3U	CTU	CKG		0	330
3U	CTU	CSX		0	320
3U	CTU	DCY		0	319
3U	CTU	DSN		0	319
3U	CTU	HAK		0	321
3U	CTU	HDG		0	319
3U	CTU	HET		0	320
3U	CTU	HFE		0	321
3U	CTU	HGH		0	320 319
3U	CTU	HKG		0	320
3U	CTU	HKT		0	321
3U	CTU	ICN		0	321
3U	CTU	INC		0	321
3U	CTU	JHG		0	319
3U	CTU	JIQ		0	320
3U	CTU	JZH		0	319
3U	CTU	KHN		0	321
3U	CTU	KMG		0	320
3U	CTU	KOW		0	320
3U	CTU	KWE		0	320
3U	CTU	LHW		0	319
3U	CTU	LJG		0	319
3U	CTU	LUM		0	319
3U	CTU	LXA		0	330 319
3U	CTU	LZY		0	319
3U	CTU	MEL		0	330
3U	CTU	NKG		0	319 320
3U	CTU	NNG		0	319 320
3U	CTU	PEK		0	330 321 320
3U	CTU	PVG		0	321 330
3U	CTU	PZI		0	319
3U	CTU	SHE		0	330
3U	CTU	SJW		0	320
3U	CTU	SYX		0	321
3U	CTU	SZX		0	320 321
3U	CTU	TAO		0	321
3U	CTU	TNA		0	321
3U	CTU	TSA		0	320
3U	CTU	TSN		0	321
3U	CTU	TYN		0	319
3U	CTU	URC		0	319 330
3U	CTU	WNZ		0	320
3U	CTU	WUH		0	319
3U	CTU	WUX		0	320
3U	CTU	WXN		0	319
3U	CTU	XIC		0	320
3U	CTU	XIY		0	320 319
3U	CTU	XMN		0	320
3U	CTU	XNN		0	320
3U	CTU	XUZ		0	320
3U	CTU	YIH		0	320
3U	CTU	YTY		0	319
3U	CZX	CKG		0	320
3U	CZX	HRB		0	321
3U	CZX	XMN		0	321
3U	CZX	ZUH		0	320
3U	DAT	TYN		0	319
3U	DCY	CTU		0	319
3U	DLC	CKG		0	320
3U	DLC	HGH		0	320
3U	DLC	HRB		0	320
3U	DLC	TNA		0	321
3U	DLC	XUZ		0	320
3U	DNH	LHW		0	319
3U	DSN	CTU		0	319
3U	DSN	SHE		0	319
3U	DYG	CKG		0	320
3U	DYG	NKG		0	319
3U	FOC	CSX		0	320
3U	FOC	XIY		0	319
3U	GXH	LXA		0	319
3U	GXH	XIY		0	319
3U	HAK	CKG		0	319
3U	HAK	CTU		0	321
3U	HAK	HGH		0	320
3U	HAK	NGB		0	321
3U	HAK	ZUH		0	320
3U	HDG	CTU		0	319
3U	HET	CTU		0	320
3U	HFE	CTU		0	321
3U	HGH	CGO		0	320
3U	HGH	CKG		0	320 319
3U	HGH	CTU		0	319 320
3U	HGH	DLC		0	320
3U	HGH	HAK		0	320
3U	HGH	KWE		0	320
3U	HGH	TSN		0	320
3U	HGH	TYN		0	320
3U	HKG	CTU		0	320
3U	HKG	YIH		0	320
3U	HKG	ZHA		0	319
3U	HKT	CKG		0	321
3U	HKT	CTU		0	321
3U	HRB	CGO		0	320
3U	HRB	CZX		0	321
3U	HRB	DLC		0	320
3U	HRB	INC		0	321
3U	HRB	NGB		0	321
3U	HRB	NKG		0	319
3U	HRB	NZH		0	321
3U	HRB	SJW		0	321
3U	HRB	TNA		0	320 321
3U	HRB	TSN		0	321
3U	HRB	WNZ		0	321
3U	HRB	WUH		0	321
3U	HRB	XIY		0	321
3U	HRB	XUZ		0	320 321
3U	ICN	CTU		0	321
3U	INC	CKG		0	321
3U	INC	CTU		0	321
3U	INC	HRB		0	321
3U	INC	KWL		0	320
3U	JGN	LHW		0	319
3U	JHG	CTU		0	319
3U	JHG	KMG		0	319
3U	JIQ	CTU		0	320
3U	JJN	KWE		0	320
3U	JJN	WUH		0	319
3U	JZH	CTU		0	319
3U	KHG	URC		0	319
3U	KHN	CKG		0	319
3U	KHN	CTU		0	321
3U	KHN	KMG		0	319
3U	KHN	NGB		0	321
3U	KMG	CGO		0	320
3U	KMG	CKG		0	319 320
3U	KMG	CSX		0	320
3U	KMG	CTU		0	320
3U	KMG	JHG		0	319
3U	KMG	KHN		0	319
3U	KMG	KWE		0	320
3U	KMG	LUM		0	319
3U	KMG	NGB		0	320
3U	KMG	NKG		0	320
3U	KMG	TAO		0	320
3U	KMG	TNA		0	320
3U	KMG	TPE		0	320
3U	KMG	WXN		0	320
3U	KMG	XIY		0	320
3U	KMG	XMN		0	320
3U	KMG	XUZ		0	320
3U	KOW	CTU		0	320
3U	KOW	XMN		0	320
3U	KWE	CTU		0	320
3U	KWE	HGH		0	320
3U	KWE	JJN		0	320
3U	KWE	KMG		0	320
3U	KWE	LHW		0	321
3U	KWE	SYX		0	321
3U	KWE	WNZ		0	320
3U	KWE	XUZ		0	321
3U	KWL	INC		0	320
3U	KWL	SJW		0	321
3U	KWL	SYX		0	320
3U	LHW	CKG		0	319 321
3U	LHW	CTU		0	319
3U	LHW	DNH		0	319
3U	LHW	JGN		0	319
3U	LHW	KWE		0	321
3U	LHW	TSN		0	321
3U	LJG	CKG		0	319
3U	LJG	CTU		0	319
3U	LJG	MIG		0	319
3U	LUM	CTU		0	319
3U	LUM	KMG		0	319
3U	LXA	CKG		0	319
3U	LXA	CTU		0	330 319
3U	LXA	GXH		0	319
3U	LXA	XIY		0	319
3U	LXA	XNN		0	319
3U	LYI	XIY		0	319 320
3U	LZY	CTU		0	319
3U	MEL	CTU		0	330
3U	MIG	LJG		0	319
3U	MIG	NKG		0	319
3U	MIG	SYX		0	320
3U	MIG	XNN		0	320
3U	NGB	CKG		0	319
3U	NGB	HAK		0	321
3U	NGB	HRB		0	321
3U	NGB	KHN		0	321
3U	NGB	KMG		0	320
3U	NGB	SHE		0	321
3U	NGB	SYX		0	321
3U	NKG	CGQ		0	320
3U	NKG	CKG		0	319
3U	NKG	CTU		0	319 320
3U	NKG	DYG		0	319
3U	NKG	HRB		0	319
3U	NKG	KMG		0	320
3U	NKG	MIG		0	319
3U	NKG	SYX		0	320
